Start,End
20.629,29.973
41.664,51.008
61.888,68.16
75.925,82.197
90.133,94.827
100.672,105.365
111.723,115.52
120.171,123.968
133.739,143.083
154.816,164.075
174.997,181.269
189.035,195.264
203.243,207.893
213.781,218.475
224.832,228.629
233.323,237.077
246.891,256.192
267.925,277.227
288.149,294.421
302.187,308.416
316.352,321.088
326.933,331.584
337.984,341.781
346.432,350.229
360.128,369.344
381.205,390.421
401.387,407.573
415.424,421.568
429.632,434.197
440.128,444.779
451.221,454.891
459.669,463.339
